,session_date_percentile,Summary_Length,cost,Hot_Topic,Made_Law,Starting_Committee,Revised_SoP,Amended,Started_House_Or_Senate
268,3,Medium,Medium,0,False,15,False,False,H
269,3,Medium,Medium,1,True,15,False,False,H
270,3,Medium,Medium,0,False,14,False,False,H
271,3,Medium,Medium,0,False,14,False,False,H
272,3,Medium,Medium,0,False,14,False,False,H
273,3,Medium,High,0,True,1,False,False,H
274,3,Low,Medium,0,True,18,False,False,H
275,3,Medium,Medium,0,False,18,False,False,H
276,4,Medium,High,1,False,7,True,False,H
277,4,Medium,Medium,0,False,14,False,False,H
278,4,Medium,Medium,1,False,14,False,False,H
279,4,Medium,Medium,0,False,7,False,False,H
280,4,Low,Medium,0,True,1,False,False,H
281,4,Medium,High,0,True,1,False,False,H
282,4,Medium,Medium,0,True,1,False,False,H
283,4,Medium,Medium,0,True,1,False,False,H
284,4,Medium,Medium,0,True,1,False,False,H
285,4,Medium,Medium,0,True,1,False,False,H
286,4,Medium,Medium,0,True,1,False,False,H
287,4,Medium,Medium,0,True,1,False,False,H
288,4,Medium,Medium,0,False,1,False,False,H
289,4,Medium,Medium,0,False,7,False,False,H
290,4,Medium,Medium,0,True,1,False,False,H
291,4,Medium,Medium,0,False,18,False,False,H
292,4,Medium,Medium,1,True,4,True,False,H
293,4,Medium,Medium,0,False,18,False,False,H
294,4,Medium,Medium,1,False,4,False,False,H
295,4,Medium,Medium,0,False,18,False,False,H
296,4,Medium,High,0,True,1,False,False,H
297,4,Medium,Medium,0,False,14,False,False,H
298,4,Medium,Medium,0,False,14,False,False,H
299,4,Medium,High,1,False,18,True,True,H
300,4,Medium,Medium,0,False,1,False,False,H
301,4,Medium,Medium,0,False,1,False,False,H
302,4,Medium,Medium,0,False,15,False,False,H
303,4,Medium,Medium,0,False,15,False,False,H
304,4,Medium,Medium,0,False,15,False,False,H
305,4,Medium,Medium,0,False,15,False,False,H
306,5,Medium,Medium,0,False,18,False,False,H
308,1,Medium,Medium,0,True,3,False,False,H
309,1,Medium,Medium,0,True,7,False,False,H
312,1,Medium,Medium,1,True,4,False,False,H
313,2,Medium,Medium,0,True,12,False,False,H
314,2,Medium,Medium,0,False,12,False,False,H
315,2,Medium,Medium,0,True,5,True,False,H
316,2,High,Medium,1,True,12,False,False,H
317,2,Medium,Medium,0,True,0,False,False,H
318,2,Medium,Medium,0,True,12,False,False,H
319,2,Medium,Medium,0,False,7,False,False,H
320,2,Medium,Medium,0,False,7,False,False,H
321,2,Medium,Medium,0,True,18,False,False,H
322,3,Medium,Medium,0,False,14,False,False,H
323,3,Medium,Medium,0,True,14,False,False,H
324,3,Medium,Medium,0,True,4,False,False,H
325,3,Medium,Medium,0,False,4,False,False,H
326,3,Medium,Medium,0,False,4,False,False,H
327,3,Medium,Medium,0,False,4,False,False,H
328,3,Medium,Medium,0,False,18,False,False,H
329,3,Medium,Medium,0,False,5,False,False,H
330,1,Medium,Medium,1,True,7,True,False,H
332,1,Medium,Medium,0,True,15,False,False,H
333,2,Medium,Medium,1,True,12,False,False,H
334,2,Medium,Medium,0,False,12,False,False,H
335,2,Medium,Medium,0,True,16,False,False,H
336,2,Medium,Medium,0,True,7,False,False,H
337,2,Medium,Medium,0,True,12,False,False,H
338,2,Medium,Medium,0,True,18,False,False,H
339,4,Medium,Medium,0,False,18,False,False,H
341,2,Medium,Medium,0,False,15,False,False,H
342,1,Medium,Medium,0,False,9,False,False,H
343,2,Medium,Medium,0,False,9,False,False,H
344,3,Medium,Medium,0,True,18,False,False,H
345,3,Medium,Medium,0,True,18,False,False,H
346,3,Medium,Medium,0,True,18,False,False,H
347,4,Medium,Medium,1,False,15,False,False,H
348,4,Medium,Medium,1,False,18,False,False,H
349,1,Medium,Medium,0,False,13,False,False,S
350,1,Medium,Medium,0,True,6,False,False,S
351,1,Medium,Medium,0,True,8,False,True,S
352,1,High,Medium,0,True,8,False,False,S
353,1,Medium,Medium,0,True,8,False,True,S
354,1,Medium,Medium,0,True,3,True,False,S
355,1,Medium,Medium,0,False,3,False,True,S
356,1,Medium,Medium,0,True,3,False,False,S
357,1,Medium,Medium,0,False,3,False,False,S
358,1,Medium,Medium,0,False,3,False,False,S
359,1,Medium,Medium,0,True,3,False,False,S
360,1,Medium,Medium,0,True,3,False,False,S
361,1,Medium,Medium,0,True,3,False,False,S
362,1,Medium,Medium,0,False,3,False,False,S
364,1,Medium,Medium,0,True,6,False,False,S
365,1,Medium,Medium,0,True,6,False,False,S
366,1,Low,Medium,0,True,8,False,True,S
367,1,Medium,Medium,0,True,8,False,False,S
368,1,Medium,Medium,1,False,8,False,False,S
369,1,Medium,Medium,0,True,8,False,False,S
370,1,Medium,Medium,0,True,8,False,False,S
371,1,Medium,Medium,0,True,8,False,False,S
372,1,Medium,Medium,0,True,0,False,False,S
373,1,Medium,Medium,0,True,6,False,False,S
374,1,Medium,Medium,0,True,3,False,False,S
375,1,Medium,Medium,0,False,7,True,False,S
376,1,Medium,Medium,0,True,3,False,False,S
377,1,Low,Medium,0,False,4,True,False,S
378,1,Medium,Medium,0,True,4,False,False,S
379,1,Medium,Medium,0,True,6,False,False,S
380,1,Medium,Medium,0,True,6,False,False,S
381,1,Medium,Medium,0,False,7,False,False,S
382,1,Medium,Medium,0,False,7,False,True,S
383,2,Medium,Medium,0,False,3,False,False,S
384,2,Medium,Medium,0,False,3,False,False,S
385,2,Medium,Medium,0,True,3,False,True,S
386,2,Medium,Medium,0,False,3,False,False,S
387,2,Low,High,0,True,13,False,False,S
388,2,Medium,Medium,1,False,15,False,False,S
389,2,Medium,Medium,0,True,13,False,False,S
390,2,Medium,Medium,0,True,8,False,False,S
391,2,Medium,Medium,0,True,8,False,False,S
392,2,Medium,Medium,0,True,8,False,False,S
393,2,Medium,Medium,0,False,8,False,False,S
394,2,Medium,Medium,0,True,17,False,False,S
395,2,Medium,Medium,0,True,3,False,False,S
396,2,Medium,Medium,0,True,3,False,False,S
397,2,Medium,Medium,1,True,15,True,False,S
398,2,Medium,Medium,1,True,13,False,False,S
399,2,Medium,Medium,0,False,17,False,False,S
400,2,Medium,Medium,0,False,17,False,False,S
401,2,Medium,Medium,0,True,3,False,False,S
402,2,Medium,Medium,1,True,7,False,False,S
403,2,Medium,Medium,0,True,7,True,False,S
404,2,Medium,Medium,0,True,13,True,True,S
405,2,Medium,Medium,1,True,4,False,True,S
406,2,Medium,Medium,1,True,4,False,False,S
407,2,Medium,Medium,1,True,4,True,False,S
408,2,Medium,Medium,1,True,4,False,True,S
409,2,Medium,Medium,1,False,4,False,True,S
410,2,Low,Medium,0,False,7,False,False,S
411,2,Medium,Medium,0,False,17,False,False,S
412,2,Medium,Medium,0,False,17,False,False,S
413,2,Medium,Medium,0,True,17,False,False,S
414,2,Medium,Medium,0,False,17,False,False,S
415,2,Medium,Medium,0,False,17,False,False,S
416,2,Medium,Medium,0,False,3,True,True,S
417,2,Medium,Medium,0,True,3,False,False,S
418,2,Medium,Medium,0,False,3,False,True,S
419,2,Medium,Medium,0,True,3,False,False,S
420,2,Medium,Medium,0,True,3,True,False,S
421,2,Medium,Medium,0,True,3,False,False,S
422,2,Medium,Medium,0,True,7,False,True,S
423,2,Medium,Medium,0,True,7,False,True,S
424,2,Medium,Medium,0,False,15,False,False,S
425,2,Medium,Medium,0,True,6,False,False,S
426,2,Medium,Medium,0,True,15,False,False,S
427,2,Medium,Medium,0,True,15,False,False,S
428,2,Medium,Medium,0,True,15,False,False,S
429,2,Medium,Medium,0,True,15,False,False,S
430,2,Medium,Medium,0,True,15,True,False,S
431,2,Medium,Medium,0,True,13,False,False,S
432,2,High,Medium,1,True,13,False,False,S
433,2,Medium,Medium,0,True,13,False,False,S
434,2,Medium,Medium,0,True,13,False,False,S
435,2,Medium,Medium,0,True,13,False,False,S
436,2,Medium,Medium,0,True,13,False,True,S
437,2,Medium,Medium,0,False,13,False,False,S
438,2,Medium,Medium,0,False,8,False,False,S
439,2,Medium,Medium,0,True,8,True,True,S
440,2,Medium,Medium,0,False,8,False,False,S
441,2,Medium,Medium,0,True,8,False,False,S
442,2,Medium,Medium,0,False,8,False,False,S
443,2,Medium,Medium,0,False,7,False,False,S
444,2,Medium,High,0,True,7,False,False,S
445,2,Medium,Medium,0,True,7,True,False,S
446,2,Medium,Medium,0,False,7,False,False,S
447,2,Medium,Medium,1,False,7,False,True,S
448,2,High,Medium,1,False,7,False,False,S
449,2,Medium,Medium,1,False,4,False,False,S
450,2,Medium,Medium,1,False,4,False,False,S
451,2,Medium,Medium,1,False,4,False,False,S
452,2,Medium,Medium,1,True,4,False,True,S
453,2,Medium,Medium,1,True,4,True,False,S
454,2,Medium,Medium,1,True,4,False,True,S
455,2,Medium,Medium,1,True,4,False,False,S
456,2,Medium,Medium,1,False,4,True,False,S
457,2,Medium,Medium,0,False,8,False,True,S
458,2,Medium,Medium,0,True,8,False,True,S
459,2,Medium,Medium,0,True,15,False,False,S
460,2,Low,Medium,0,True,15,False,False,S
461,2,Medium,Medium,0,True,15,False,True,S
462,2,Medium,Medium,0,False,15,False,False,S
463,2,Medium,Medium,0,True,6,False,False,S
464,2,Medium,Medium,0,True,8,False,False,S
465,2,Medium,Medium,0,True,8,False,False,S
466,2,Medium,Medium,0,False,8,False,False,S
467,2,Medium,Medium,0,True,8,False,False,S
468,2,Medium,Medium,0,False,8,False,False,S
469,2,Medium,Medium,0,False,8,False,False,S
470,2,Medium,Medium,0,True,8,False,False,S
471,2,Medium,Medium,0,True,8,False,False,S
472,2,Medium,Medium,0,False,8,False,True,S
473,2,Medium,Medium,0,True,15,False,False,S
474,2,Medium,High,0,False,15,True,True,S
475,2,Medium,Medium,0,True,15,False,False,S
476,2,Medium,Medium,0,True,6,False,False,S
477,2,Low,Medium,0,True,8,True,True,S
478,2,Medium,Medium,0,True,6,False,False,S
479,2,Medium,Medium,0,True,15,False,True,S
480,2,Medium,Medium,0,False,15,False,False,S
481,2,Medium,Medium,0,True,8,False,False,S
482,2,Medium,Medium,0,True,8,False,False,S
483,3,Medium,Medium,0,True,6,False,False,S
484,3,Medium,Medium,0,True,6,False,False,S
485,3,Medium,Medium,0,False,15,False,False,S
486,3,Medium,Medium,0,True,15,True,True,S
487,3,Medium,Medium,1,True,6,False,False,S
488,3,Medium,Medium,0,True,6,False,False,S
489,3,Medium,Medium,0,True,6,False,False,S
490,3,Medium,Medium,0,True,6,False,False,S
491,3,Medium,Medium,0,True,6,False,False,S
492,3,Medium,Medium,0,True,6,False,False,S
493,3,Medium,High,0,True,6,False,False,S
494,3,Medium,Medium,0,True,8,False,False,S
495,3,Medium,Medium,0,True,6,False,False,S
496,3,Medium,Medium,0,True,6,False,False,S
497,3,Medium,High,0,True,6,False,False,S
498,3,Medium,Medium,0,True,6,False,False,S
499,3,Medium,Medium,0,True,15,False,False,S
500,3,Medium,Medium,0,True,15,False,False,S
501,3,Medium,Medium,0,True,15,False,False,S
502,3,Medium,Medium,0,False,15,False,False,S
503,3,Medium,Medium,0,True,6,False,False,S
504,3,Medium,High,0,True,6,False,False,S
505,3,Medium,Medium,0,True,6,False,False,S
506,3,Medium,Medium,0,True,6,False,False,S
507,3,Medium,Medium,0,False,15,True,True,S
508,3,Medium,Medium,1,False,15,False,False,S
509,3,Medium,Medium,0,False,8,False,False,S
510,3,Medium,High,0,True,6,False,False,S
511,3,Medium,Medium,0,True,6,False,False,S
512,3,Medium,High,0,True,6,False,False,S
513,3,Medium,High,0,True,6,False,False,S
514,3,Medium,Medium,0,True,6,False,False,S
515,3,Medium,Medium,0,True,6,False,False,S
516,3,Medium,Medium,0,True,6,False,False,S
517,3,Medium,Medium,0,True,6,False,False,S
518,3,Medium,High,0,True,6,False,False,S
519,3,Medium,High,1,True,6,False,False,S
520,3,Medium,High,0,True,6,False,False,S
521,3,Medium,High,0,True,6,False,False,S
522,3,Medium,Medium,0,True,6,False,False,S
523,3,Medium,Medium,0,False,15,False,False,S
524,3,Medium,Medium,0,False,15,False,False,S
525,3,Medium,Medium,0,False,15,True,False,S
526,3,Medium,Medium,0,False,15,True,True,S
527,3,Medium,Medium,1,False,15,False,False,S
528,3,Medium,Medium,1,True,15,True,False,S
529,3,Medium,Medium,1,False,15,False,False,S
530,3,Medium,Medium,0,True,15,False,False,S
531,3,Medium,Medium,0,False,15,False,False,S
532,3,Medium,High,0,True,6,False,False,S
533,3,Medium,High,0,True,6,False,False,S
534,3,Medium,Medium,0,False,15,False,False,S
535,3,Medium,Medium,0,True,6,False,False,S
536,3,Medium,High,0,True,6,False,False,S
537,3,Medium,Medium,0,True,6,False,False,S
538,3,Medium,Medium,0,True,6,False,False,S
539,3,Medium,High,0,True,6,False,False,S
540,3,Medium,Medium,0,True,6,False,False,S
541,3,Medium,High,0,True,6,False,False,S
542,3,Medium,High,0,True,6,False,False,S
543,3,Medium,Medium,0,False,15,False,False,S
544,3,Medium,Medium,0,False,15,False,False,S
545,3,Medium,High,0,True,6,False,False,S
